name,description,price,tags,imageUrl,optionName,hidden,weight,prepaymentPercent,hideBuyBtn,bonusesPercent
O'simliklar dunyosi,Тўгарак машғулотлари ишланмаси. ''O'simliklar dunyosi''. Формат - А4 (оддий лист). Рангли. Ҳажми - 35 вароқ. Электрон вариантдаги формати - PDF.,35000,"эл_био, т_био",https://storage.googleapis.com/exprintsalesbot1597642119253/dfbe0820-e3aa-11ea-bd0e-05715eb7d579.gif_1598013362917.gif,,,,,,
Чистописание,Тўгарак машғулотлари ишланмаси. ''Чистописание''. Формат - А4 (оддий лист). Рангли. Ҳажми - 54 вароқ. Электрон вариантдаги формати - PDF.,54000,"с1эл, с1тай",https://storage.googleapis.com/exprintsalesbot1597642119253/db1fa0d0-e3aa-11ea-bd0e-05715eb7d579.gif_1598013355110.gif,,,,,,
Любители русского языка,Тўгарак машғулотлари ишланмаси. ''Любители русского языка''. Формат - А4 (оддий лист). Рангли. Ҳажми - 33 вароқ. Электрон вариантдаги формати - PDF.,33000,"эл_рус, т_рус",https://storage.googleapis.com/exprintsalesbot1597642119253/d3ba7860-e3aa-11ea-8c36-13e96ffbf515.gif_1598013342746.gif,,,,,,
Orasta qizlar,Тўгарак машғулотлари ишланмаси. ''Orasta qizlar''. Формат - А4 (оддий лист). Рангли. Ҳажми - 37 вароқ. Электрон вариантдаги формати - PDF.,37000,"с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай",,,TRUE,,,,
Искусство творения,Тўгарак машғулотлари ишланмаси. ''Искусство творения''. Формат - А4 (оддий лист). Рангли. Ҳажми - 29 вароқ. Электрон вариантдаги формати - PDF.,29000,"эл_мех, т_мех",https://storage.googleapis.com/exprintsalesbot1597642119253/ce6c9730-e3aa-11ea-bd0e-05715eb7d579.gif_1598013333785.gif,,,,,,
Kemasozlik,Тўгарак машғулотлари ишланмаси. ''Kemasozlik''. Формат - А4 (оддий лист). Рангли. Ҳажми - 22 вароқ. Электрон вариантдаги формати - PDF.,22000,"эл_мех, т_мех",https://storage.googleapis.com/exprintsalesbot1597642119253/c766a5c0-e3aa-11ea-bd0e-05715eb7d579.gif_1598013322042.gif,,,,,,
Kasbga yo'naltirish,Тўгарак машғулотлари ишланмаси. ''Kasbga yo'naltirish''. Формат - А4 (оддий лист). Рангли. Ҳажми - 22 вароқ. Электрон вариантдаги формати - PDF.,22000,"с4эл, с4тай",,,TRUE,,,,
Kasbga yo'naltirish,Тўгарак машғулотлари ишланмаси. ''Kasbga yo'naltirish''. Формат - А4 (оддий лист). Рангли. Ҳажми - 21 вароқ. Электрон вариантдаги формати - PDF.,21000,"с3эл, с3тай",,,TRUE,,,,
Чистописание,Тўгарак машғулотлари ишланмаси. ''Чистописание''. Формат - А4 (оддий лист). Рангли. Ҳажми - 28 вароқ. Электрон вариантдаги формати - PDF.,28000,"с4эл, с4тай",https://storage.googleapis.com/exprintsalesbot1597642119253/bd3209a0-e3aa-11ea-bd0e-05715eb7d579.gif_1598013304809.gif,,,,,,
Ifodali o'qish to'garagi,Тўгарак машғулотлари ишланмаси. ''Ifodali o'qish to'garagi''. Формат - А4 (оддий лист). Рангли. Ҳажми - 24 вароқ. Электрон вариантдаги формати - PDF.,24000,"с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай",https://storage.googleapis.com/exprintsalesbot1597642119253/b8e98a80-e3aa-11ea-bd0e-05715eb7d579.gif_1598013297695.gif,,,,,,
Чистописание,Тўгарак машғулотлари ишланмаси. ''Чистописание''. Формат - А4 (оддий лист). Рангли. Ҳажми - 28 вароқ. Электрон вариантдаги формати - PDF.,28000,"с1эл, с1тай",https://storage.googleapis.com/exprintsalesbot1597642119253/b492da90-e3aa-11ea-bd0e-05715eb7d579.gif_1598013290347.gif,,,,,,
Мифы нашей истории,Тўгарак машғулотлари ишланмаси. ''Мифы нашей истории''. Формат - А4 (оддий лист). Рангли. Ҳажми - 22 вароқ. Электрон вариантдаги формати - PDF.,22000,"эл_тар, т_тар",https://storage.googleapis.com/exprintsalesbot1597642119253/b0cb9960-e3aa-11ea-bd0e-05715eb7d579.gif_1598013284068.gif,,,,,,
Юные математики,Тўгарак машғулотлари ишланмаси. ''Юные математики''. Формат - А4 (оддий лист). Рангли. Ҳажми - 25 вароқ. Электрон вариантдаги формати - PDF.,25000,"с1эл, с1тай",https://storage.googleapis.com/exprintsalesbot1597642119253/a6d0f900-e3aa-11ea-8c36-13e96ffbf515.gif_1598013267322.gif,,,,,,
Занимательная биология,Тўгарак машғулотлари ишланмаси. ''Занимательная биология''. Формат - А4 (оддий лист). Рангли. Ҳажми - 31 вароқ. Электрон вариантдаги формати - PDF.,31000,"эл_био, т_био",https://storage.googleapis.com/exprintsalesbot1597642119253/a1e471b0-e3aa-11ea-8c36-13e96ffbf515.gif_1598013259181.gif,,,,,,
Занимательная химия,Тўгарак машғулотлари ишланмаси. ''Занимательная химия''. Формат - А4 (оддий лист). Рангли. Ҳажми - 28 вароқ. Электрон вариантдаги формати - PDF.,28000,"эл_хим, т_хим",https://storage.googleapis.com/exprintsalesbot1597642119253/9b828870-e3aa-11ea-8c36-13e96ffbf515.gif_1598013248442.gif,,,,,,
Юные экологи,Тўгарак машғулотлари ишланмаси. ''Юные экологи''. Формат - А4 (оддий лист). Рангли. Ҳажми - 24 вароқ. Электрон вариантдаги формати - PDF.,24000,"с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай",https://storage.googleapis.com/exprintsalesbot1597642119253/9566cff0-e3aa-11ea-8c36-13e96ffbf515.gif_1598013238117.gif,,,,,,
Мир профессий,Тўгарак машғулотлари ишланмаси. ''Мир профессий''. Формат - А4 (оддий лист). Рангли. Ҳажми - 20 вароқ. Электрон вариантдаги формати - PDF.,20000,"эл_рус, т_рус",https://storage.googleapis.com/exprintsalesbot1597642119253/91589ab0-e3aa-11ea-8c36-13e96ffbf515.gif_1598013231259.gif,,,,,,
Jasur o'g'lonlar,Тўгарак машғулотлари ишланмаси. ''Jasur o'g'lonlar''. Формат - А4 (оддий лист). Рангли. Ҳажми - 17 вароқ. Электрон вариантдаги формати - PDF.,17000,"с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай",https://storage.googleapis.com/exprintsalesbot1597642119253/8d15c0e0-e3aa-11ea-8c36-13e96ffbf515.gif_1598013224191.gif,,,,,,
Совет мальчиков,Тўгарак машғулотлари ишланмаси. ''Совет мальчиков''. Формат - А4 (оддий лист). Рангли. Ҳажми - 17 вароқ. Электрон вариантдаги формати - PDF.,17000,"с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай",https://storage.googleapis.com/exprintsalesbot1597642119253/896f2710-e3aa-11ea-8c36-13e96ffbf515.gif_1598013217985.gif,,,,,,
Ifodali o'qish to'garagi,Тўгарак машғулотлари ишланмаси. ''Ifodali o'qish to'garagi''. Формат - А4 (оддий лист). Рангли. Ҳажми - 38 вароқ. Электрон вариантдаги формати - PDF.,38000,"с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай",https://storage.googleapis.com/exprintsalesbot1597642119253/84c30420-e3aa-11ea-bd0e-05715eb7d579.gif_1598013210215.gif,,,,,,
Yosh vatanparvarlar,Тўгарак машғулотлари ишланмаси. ''Yosh vatanparvarlar''. Формат - А4 (оддий лист). Рангли. Ҳажми - 20 вароқ. Электрон вариантдаги формати - PDF.,20000,"с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай",https://storage.googleapis.com/exprintsalesbot1597642119253/80a601d0-e3aa-11ea-bd0e-05715eb7d579.gif_1598013203257.gif,,,,,,
Kamalak,Тўгарак машғулотлари ишланмаси. ''Kamalak''. Формат - А4 (оддий лист). Рангли. Ҳажми - 29 вароқ. Электрон вариантдаги формати - PDF.,29000,"эл_расм, т_расм, с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай",https://storage.googleapis.com/exprintsalesbot1597642119253/7cbe8e70-e3aa-11ea-bd0e-05715eb7d579.gif_1598013196886.gif,,,,,,
Men sevgan kasb,Тўгарак машғулотлари ишланмаси. ''Men sevgan kasb''. Формат - А4 (оддий лист). Рангли. Ҳажми - 27 вароқ. Электрон вариантдаги формати - PDF.,27000,"с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай",https://storage.googleapis.com/exprintsalesbot1597642119253/6e2c8ba0-e3aa-11ea-8c36-13e96ffbf515.gif_1598013172411.gif,,,,,,
Мир сказок,Тўгарак машғулотлари ишланмаси. ''Мир сказок''. Формат - А4 (оддий лист). Рангли. Ҳажми - 26 вароқ. Электрон вариантдаги формати - PDF.,26000,"с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай",https://storage.googleapis.com/exprintsalesbot1597642119253/5e56e540-e3aa-11ea-8c36-13e96ffbf515.gif_1598013145740.gif,,,,,,
Драматический кружок,Тўгарак машғулотлари ишланмаси. ''Драматический кружок''. Формат - А4 (оддий лист). Рангли. Ҳажми - 20 вароқ. Электрон вариантдаги формати - PDF.,20000,"эл_рус, т_рус",https://storage.googleapis.com/exprintsalesbot1597642119253/63f138c0-e3aa-11ea-8c36-13e96ffbf515.gif_1598013155105.gif,,,,,,
Yosh adabiyotshunoslar,Тўгарак машғулотлари ишланмаси. ''Yosh adabiyotshunoslar''. Формат - А4 (оддий лист). Рангли. Ҳажми - 25 вароқ. Электрон вариантдаги формати - PDF.,25000,"эл_она, т_она",https://storage.googleapis.com/exprintsalesbot1597642119253/5a2445c0-e473-11ea-8c36-13e96ffbf515.jpg_1598099467430.jpg,,,,,,
Matematik baxs,Тўгарак машғулотлари ишланмаси. ''Matematik baxs''. Формат - А4 (оддий лист). Рангли. Ҳажми - 21 вароқ. Электрон вариантдаги формати - PDF.,21000,"эл_мат, т_мат",https://storage.googleapis.com/exprintsalesbot1597642119253/4ef5d2a0-e3aa-11ea-8c36-13e96ffbf515.gif_1598013119914.gif,,,,,,
Прилежные девочки III v2,Тўгарак машғулотлари ишланмаси. ''Прилежные девочки III v2''. Формат - А4 (оддий лист). Рангли. Ҳажми - 25 вароқ. Электрон вариантдаги формати - PDF.,25000,,,,TRUE,,,,
Прилежные девочки II v2,Тўгарак машғулотлари ишланмаси. ''Прилежные девочки II v2''. Формат - А4 (оддий лист). Рангли. Ҳажми - 24 вароқ. Электрон вариантдаги формати - PDF.,24000,,,,TRUE,,,,
Прилежные девочки I v2,Тўгарак машғулотлари ишланмаси. ''Прилежные девочки I v2''. Формат - А4 (оддий лист). Рангли. Ҳажми - 24 вароқ. Электрон вариантдаги формати - PDF.,24000,,,,TRUE,,,,
Прилежные девочки,Тўгарак машғулотлари ишланмаси. ''Прилежные девочки''. Формат - А4 (оддий лист). Рангли. Ҳажми - 20 вароқ. Электрон вариантдаги формати - PDF.,20000,,,,TRUE,,,,
